update,kind,reward,rate,ep_rate,terminal_time_min,steps,episodes,step_avg_reward,step_avg_rate,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT,run_id,train_seed,replicate,ALPHA_EFFECTIVE,ALPHA_SATURATION,ALPHA_MEMBERS,R,V,DT,RIDE_TTL_STEPS,RP,HORIZON_MIN,DEMAND_PROFILE,TRAIN_UPDATES,REPORT_UNSCALED,OBS_DIM,R_PAPER,R_PICK_ALPHA_PAPER,PICKUP_RADIUS,ALPHA_EFFECTIVE_PAPER,ALPHA_SATURATION_PAPER
13,train,193.52377891540527,0.4306509683792051,0.41495243459939957,449.375,898.75,8,0.22416360676288605,0.4483272135257721,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
14,train,255.16626834869385,0.44251683216768933,0.3906956613063812,576.625,1153.25,8,0.21088887751102448,0.42177775502204895,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
15,train,341.47603607177734,0.4962112415671262,0.486451451977094,688.1666666666666,1376.3333333333333,6,0.24764859676361084,0.4952971935272217,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
15,eval,261.3606872558594,0.44044605199841486,0.4063760817050934,593.4,nan,1,nan,nan,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
16,train,296.0912780761719,0.4806676592145647,0.46139436960220337,616.0,1232.0,7,0.24507983028888702,0.49015966057777405,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
17,train,220.61413526535034,0.4436126887326386,0.4195790756493807,497.3125,994.625,8,0.2245602160692215,0.449120432138443,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
18,train,208.8170166015625,0.4346392956452452,0.4269900470972061,480.4375,960.875,8,0.21850019693374634,0.4370003938674927,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
19,train,196.27487869262694,0.4382113835512993,0.4245737701654434,447.9,895.8,10,0.2145324945449829,0.4290649890899658,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
20,train,269.74087960379467,0.4733482469858517,0.46252991046224323,569.8571428571429,1139.7142857142858,7,0.24124358594417572,0.48248717188835144,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
20,eval,286.32969055175784,0.45644777706321993,0.43391078114509585,627.3,nan,1,nan,nan,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
21,train,278.06116485595703,0.4689058429274149,0.4366789162158966,593.0,1186.0,6,0.2391621619462967,0.4783243238925934,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
22,train,327.94067818777904,0.4832301331048212,0.4775778778961727,678.6428571428571,1357.2857142857142,7,0.23444777727127075,0.4688955545425415,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
23,train,212.90888690948486,0.41973166468109385,0.4116903953254223,507.25,1014.5,8,0.2095005065202713,0.4190010130405426,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
