update,kind,reward,rate,ep_rate,terminal_time_min,steps,episodes,step_avg_reward,step_avg_rate,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT,run_id,train_seed,replicate,ALPHA_EFFECTIVE,ALPHA_SATURATION,ALPHA_MEMBERS,R,V,DT,RIDE_TTL_STEPS,RP,HORIZON_MIN,DEMAND_PROFILE,TRAIN_UPDATES,REPORT_UNSCALED,OBS_DIM,R_PAPER,R_PICK_ALPHA_PAPER,PICKUP_RADIUS,ALPHA_EFFECTIVE_PAPER,ALPHA_SATURATION_PAPER
1,train,429.0095581054687,0.526069353900023,0.5226272225379944,815.5,1631.0,5,0.2632502019405365,0.526500403881073,4,2,0.25,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.2442732516826255,0.2442732516826255,"[0.25, 0.3, 0.35, 0.4]",5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.17677669529663687,0.9722718241315028,0.17272727272727273,0.17272727272727273
2,train,315.87824122111004,0.49317445936160814,0.4728783170382182,640.5,1281.0,6,0.2512606382369995,0.502521276473999,4,2,0.25,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.2442732516826255,0.2442732516826255,"[0.25, 0.3, 0.35, 0.4]",5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.17677669529663687,0.9722718241315028,0.17272727272727273,0.17272727272727273
3,train,412.57569274902346,0.5287398343573285,0.5324624657630921,780.3,1560.6,5,0.26172226667404175,0.5234445333480835,4,2,0.25,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.2442732516826255,0.2442732516826255,"[0.25, 0.3, 0.35, 0.4]",5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.17677669529663687,0.9722718241315028,0.17272727272727273,0.17272727272727273
4,train,443.5978210449219,0.5165321623718233,0.5113633871078491,858.8,1717.6,5,0.2550646662712097,0.5101293325424194,4,2,0.25,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.2442732516826255,0.2442732516826255,"[0.25, 0.3, 0.35, 0.4]",5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.17677669529663687,0.9722718241315028,0.17272727272727273,0.17272727272727273
5,train,366.8676528930664,0.5178089666804042,0.5006652971108755,708.5,1417.0,6,0.2602096498012543,0.5204192996025085,4,2,0.25,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.2442732516826255,0.2442732516826255,"[0.25, 0.3, 0.35, 0.4]",5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.17677669529663687,0.9722718241315028,0.17272727272727273,0.17272727272727273
5,eval,363.00945739746095,0.5148340056693532,0.4545109272003174,705.1,nan,1,nan,nan,4,2,0.25,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.2442732516826255,0.2442732516826255,"[0.25, 0.3, 0.35, 0.4]",5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.17677669529663687,0.9722718241315028,0.17272727272727273,0.17272727272727273
6,train,631.6451670328776,0.4727882986773036,0.4692862530549367,1336.0,2672.0,3,0.23391227424144745,0.4678245484828949,4,2,0.25,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.2442732516826255,0.2442732516826255,"[0.25, 0.3, 0.35, 0.4]",5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.17677669529663687,0.9722718241315028,0.17272727272727273,0.17272727272727273
7,train,731.5412801106771,0.5175389318080489,0.5252864062786102,1413.5,2827.0,3,0.263339638710022,0.526679277420044,4,2,0.25,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.2442732516826255,0.2442732516826255,"[0.25, 0.3, 0.35, 0.4]",5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.17677669529663687,0.9722718241315028,0.17272727272727273,0.17272727272727273
8,train,650.9488728841146,0.5259484564105423,0.5213354031244913,1237.6666666666667,2475.3333333333335,3,0.265453577041626,0.530907154083252,4,2,0.25,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.2442732516826255,0.2442732516826255,"[0.25, 0.3, 0.35, 0.4]",5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.17677669529663687,0.9722718241315028,0.17272727272727273,0.17272727272727273
9,train,431.7321533203125,0.5273386506905002,0.5230678737163543,818.7,1637.4,5,0.2668664753437042,0.5337329506874084,4,2,0.25,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.2442732516826255,0.2442732516826255,"[0.25, 0.3, 0.35, 0.4]",5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.17677669529663687,0.9722718241315028,0.17272727272727273,0.17272727272727273
10,train,493.83339233398436,0.5674941304688398,0.5611522316932678,870.2,1740.4,5,0.28056442737579346,0.5611288547515869,4,2,0.25,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.2442732516826255,0.2442732516826255,"[0.25, 0.3, 0.35, 0.4]",5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.17677669529663687,0.9722718241315028,0.17272727272727273,0.17272727272727273
10,eval,721.3148498535156,0.5516326474866287,0.5511600494384765,1307.6,nan,1,nan,nan,4,2,0.25,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.2442732516826255,0.2442732516826255,"[0.25, 0.3, 0.35, 0.4]",5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.17677669529663687,0.9722718241315028,0.17272727272727273,0.17272727272727273
11,train,700.1605224609375,0.5460050864005231,0.5422660609086355,1282.3333333333333,2564.6666666666665,3,0.2655540108680725,0.531108021736145,4,2,0.25,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.2442732516826255,0.2442732516826255,"[0.25, 0.3, 0.35, 0.4]",5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.17677669529663687,0.9722718241315028,0.17272727272727273,0.17272727272727273
12,train,465.57483927408856,0.5082694751900529,0.5066112379233042,916.0,1832.0,3,0.27217844128608704,0.5443568825721741,4,2,0.25,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.2442732516826255,0.2442732516826255,"[0.25, 0.3, 0.35, 0.4]",5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.17677669529663687,0.9722718241315028,0.17272727272727273,0.17272727272727273
13,train,869.3408508300781,0.5481918134503908,0.5510913530985514,1585.8333333333333,3171.6666666666665,3,0.27881109714508057,0.5576221942901611,4,2,0.25,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.2442732516826255,0.2442732516826255,"[0.25, 0.3, 0.35, 0.4]",5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.17677669529663687,0.9722718241315028,0.17272727272727273,0.17272727272727273
