combo_id,LAMBDA,GAMMA_PACK,R_PICK_ALPHA,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT,R,V,DT,train_seed,replicate,ALPHA_MEMBERS,ALPHA_EFFECTIVE,ALPHA_SATURATION,RIDE_TTL_STEPS,R_PAPER,R_PICK_ALPHA_PAPER,PICKUP_RADIUS,ALPHA_EFFECTIVE_PAPER,ALPHA_SATURATION_PAPER,run_id,RP,HORIZON_MIN,TRAIN_UPDATES,REPORT_UNSCALED,OBS_DIM,DEMAND_PROFILE,algo,reward,rate,ep_rate,terminal_time,avg_finish_time,finish_rate,accepted,time_rides,time_delivery
1,2,0.33,0.1,5,5,6,5.5,5.5,0.19,0.5,42,1,[0.1],0.1,0.2442732516826255,10,7.778174593052023,0.07071067811865475,0.38890872965260115,0.07071067811865475,0.17272727272727273,20260921T145350850289Z_7aec6e97,2,5760.0,50,True,79,stationary,DRL,99.62620849609375,0.3161733052875079,0.29612705707550047,315.1,315.1,1.0,2.0,69.4,245.7
1,2,0.33,0.1,5,5,6,5.5,5.5,0.19,0.5,42,1,[0.1],0.1,0.2442732516826255,10,7.778174593052023,0.07071067811865475,0.38890872965260115,0.07071067811865475,0.17272727272727273,20260921T145350850289Z_7aec6e97,2,5760.0,50,True,79,stationary,HEUR,76.13512115478515,0.26695344023416956,0.26365421116352084,285.2,285.2,1.0,1.4,44.3,240.9
1,2,0.33,0.1,5,5,6,5.5,5.5,0.19,0.5,42,1,[0.1],0.1,0.2442732516826255,10,7.778174593052023,0.07071067811865475,0.38890872965260115,0.07071067811865475,0.17272727272727273,20260921T145350850289Z_7aec6e97,2,5760.0,50,True,79,stationary,HEUR_VOR,63.70794677734375,0.2343065346720991,0.22851453270188848,271.9,271.9,1.0,1.0,27.1,244.8
1,2,0.33,0.1,5,5,6,5.5,5.5,0.19,0.5,42,1,[0.1],0.1,0.2442732516826255,10,7.778174593052023,0.07071067811865475,0.38890872965260115,0.07071067811865475,0.17272727272727273,20260921T145350850289Z_7aec6e97,2,5760.0,50,True,79,stationary,FOUR_ZONE,51.434706115722655,0.22266106543602882,0.21645567189608225,231.0,231.0,1.0,0.2,8.2,222.8
1,2,0.33,0.1,5,5,6,5.5,5.5,0.19,0.5,42,1,[0.1],0.1,0.2442732516826255,10,7.778174593052023,0.07071067811865475,0.38890872965260115,0.07071067811865475,0.17272727272727273,20260921T145350850289Z_7aec6e97,2,5760.0,50,True,79,stationary,PURE,43.2,0.1847733105218135,0.18373827772345533,233.8,233.8,1.0,0.0,0.0,233.8
1,2,0.33,0.1,5,5,6,5.5,5.5,0.19,0.5,42,1,[0.1],0.1,0.2442732516826255,10,7.778174593052023,0.07071067811865475,0.38890872965260115,0.07071067811865475,0.17272727272727273,20260921T145350850289Z_7aec6e97,2,5760.0,50,True,79,stationary,PURE_OR,43.2,0.2169763937719739,0.2154468511187857,199.1,199.1,1.0,0.0,0.0,199.1
2,2,0.33,0.15,5,5,6,5.5,5.5,0.19,0.5,42,1,[0.15],0.15,0.2442732516826255,10,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273,20260921T145350850289Z_7aec6e97,2,5760.0,50,True,79,stationary,DRL,286.32969055175784,0.4564477770632199,0.43391078114509585,627.3,627.3,1.0,8.0,323.6,303.7
2,2,0.33,0.15,5,5,6,5.5,5.5,0.19,0.5,42,1,[0.15],0.15,0.2442732516826255,10,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273,20260921T145350850289Z_7aec6e97,2,5760.0,50,True,79,stationary,HEUR,116.05364227294922,0.3272804350618985,0.3187235802412033,354.6,354.6,1.0,2.4,90.9,263.7
2,2,0.33,0.15,5,5,6,5.5,5.5,0.19,0.5,42,1,[0.15],0.15,0.2442732516826255,10,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273,20260921T145350850289Z_7aec6e97,2,5760.0,50,True,79,stationary,HEUR_VOR,80.57287292480468,0.2801560254687228,0.2566103919910578,287.6,287.6,1.0,1.6,51.0,236.6
2,2,0.33,0.15,5,5,6,5.5,5.5,0.19,0.5,42,1,[0.15],0.15,0.2442732516826255,10,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273,20260921T145350850289Z_7aec6e97,2,5760.0,50,True,79,stationary,FOUR_ZONE,51.434706115722655,0.22266106543602882,0.21645567189608225,231.0,231.0,1.0,0.2,8.2,222.8
2,2,0.33,0.15,5,5,6,5.5,5.5,0.19,0.5,42,1,[0.15],0.15,0.2442732516826255,10,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273,20260921T145350850289Z_7aec6e97,2,5760.0,50,True,79,stationary,PURE,43.2,0.1847733105218135,0.18373827772345533,233.8,233.8,1.0,0.0,0.0,233.8
2,2,0.33,0.15,5,5,6,5.5,5.5,0.19,0.5,42,1,[0.15],0.15,0.2442732516826255,10,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273,20260921T145350850289Z_7aec6e97,2,5760.0,50,True,79,stationary,PURE_OR,43.2,0.2169763937719739,0.2154468511187857,199.1,199.1,1.0,0.0,0.0,199.1
3,2,0.33,0.2,5,5,6,5.5,5.5,0.19,0.5,42,1,[0.2],0.2,0.2442732516826255,10,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273,20260921T145350850289Z_7aec6e97,2,5760.0,50,True,79,stationary,DRL,537.8239074707031,0.5039107162660013,0.518478536605835,1067.3,1067.3,1.0,15.8,726.0,341.3
3,2,0.33,0.2,5,5,6,5.5,5.5,0.19,0.5,42,1,[0.2],0.2,0.2442732516826255,10,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273,20260921T145350850289Z_7aec6e97,2,5760.0,50,True,79,stationary,HEUR,148.89693450927734,0.3923502885619956,0.38709181547164917,379.5,379.5,1.0,3.6,129.4,250.1
3,2,0.33,0.2,5,5,6,5.5,5.5,0.19,0.5,42,1,[0.2],0.2,0.2442732516826255,10,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273,20260921T145350850289Z_7aec6e97,2,5760.0,50,True,79,stationary,HEUR_VOR,115.29676513671875,0.3687136716876199,0.3466968685388565,312.7,312.7,1.0,2.6,88.7,224.0
3,2,0.33,0.2,5,5,6,5.5,5.5,0.19,0.5,42,1,[0.2],0.2,0.2442732516826255,10,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273,20260921T145350850289Z_7aec6e97,2,5760.0,50,True,79,stationary,FOUR_ZONE,61.56976165771484,0.2615537878407597,0.2613016475523904,235.4,235.4,1.0,0.6,19.3,216.1
3,2,0.33,0.2,5,5,6,5.5,5.5,0.19,0.5,42,1,[0.2],0.2,0.2442732516826255,10,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273,20260921T145350850289Z_7aec6e97,2,5760.0,50,True,79,stationary,PURE,43.2,0.1847733105218135,0.18373827772345533,233.8,233.8,1.0,0.0,0.0,233.8
3,2,0.33,0.2,5,5,6,5.5,5.5,0.19,0.5,42,1,[0.2],0.2,0.2442732516826255,10,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273,20260921T145350850289Z_7aec6e97,2,5760.0,50,True,79,stationary,PURE_OR,43.2,0.2169763937719739,0.2154468511187857,199.1,199.1,1.0,0.0,0.0,199.1
4,2,0.33,0.25,5,5,6,5.5,5.5,0.19,0.5,42,1,"[0.25, 0.3, 0.35, 0.4]",0.2442732516826255,0.2442732516826255,10,7.778174593052023,0.17677669529663687,0.9722718241315028,0.17272727272727273,0.17272727272727273,20260921T145350850289Z_7aec6e97,2,5760.0,50,True,79,stationary,DRL,608.5347290039062,0.5428983218876852,0.5390210270881652,1120.9,1120.9,1.0,20.2,805.3,315.6
4,2,0.33,0.25,5,5,6,5.5,5.5,0.19,0.5,42,1,"[0.25, 0.3, 0.35, 0.4]",0.2442732516826255,0.2442732516826255,10,7.778174593052023,0.17677669529663687,0.9722718241315028,0.17272727272727273,0.17272727272727273,20260921T145350850289Z_7aec6e97,2,5760.0,50,True,79,stationary,HEUR,162.1483352661133,0.40699883349928034,0.39513362050056455,398.4,398.4,1.0,4.2,150.7,247.7
4,2,0.33,0.25,5,5,6,5.5,5.5,0.19,0.5,42,1,"[0.25, 0.3, 0.35, 0.4]",0.2442732516826255,0.2442732516826255,10,7.778174593052023,0.17677669529663687,0.9722718241315028,0.17272727272727273,0.17272727272727273,20260921T145350850289Z_7aec6e97,2,5760.0,50,True,79,stationary,HEUR_VOR,118.58992919921874,0.37445509693469764,0.3522822350263596,316.7,316.7,1.0,3.0,103.4,213.3
4,2,0.33,0.25,5,5,6,5.5,5.5,0.19,0.5,42,1,"[0.25, 0.3, 0.35, 0.4]",0.2442732516826255,0.2442732516826255,10,7.778174593052023,0.17677669529663687,0.9722718241315028,0.17272727272727273,0.17272727272727273,20260921T145350850289Z_7aec6e97,2,5760.0,50,True,79,stationary,FOUR_ZONE,61.56976165771484,0.2615537878407597,0.2613016475523904,235.4,235.4,1.0,0.6,19.3,216.1
4,2,0.33,0.25,5,5,6,5.5,5.5,0.19,0.5,42,1,"[0.25, 0.3, 0.35, 0.4]",0.2442732516826255,0.2442732516826255,10,7.778174593052023,0.17677669529663687,0.9722718241315028,0.17272727272727273,0.17272727272727273,20260921T145350850289Z_7aec6e97,2,5760.0,50,True,79,stationary,PURE,43.2,0.1847733105218135,0.18373827772345533,233.8,233.8,1.0,0.0,0.0,233.8
