combo_id,algo,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,reward,rate,terminal_time,accepted
19,PURE,0.4,0.6,0.5,3,8,6,193.8,0.3868682106863117,500.6,0.0
20,DRL,0.4,0.6,0.5,3,8,12,703.1224670410156,1.139179962873459,591.4,3.2
20,HEUR,0.4,0.6,0.5,3,8,12,764.7039672851563,1.2601762056350707,603.3,2.8
20,PURE,0.4,0.6,0.5,3,8,12,197.6,0.3820794586349465,516.4,0.0
21,DRL,0.4,0.6,0.5,5,5,6,1278.5368530273438,1.7529772996902466,705.8,7.6
21,HEUR,0.4,0.6,0.5,5,5,6,1396.3274169921874,1.973523783683777,700.9,8.2
21,PURE,0.4,0.6,0.5,5,5,6,206.4,0.4025740035261786,512.8,0.0
22,DRL,0.4,0.6,0.5,5,5,12,1720.8928466796874,2.1742443561553957,769.7,10.2
22,HEUR,0.4,0.6,0.5,5,5,12,1098.649951171875,1.580785071849823,688.2,7.0
22,PURE,0.4,0.6,0.5,5,5,12,207.2,0.38517147922872097,539.9,0.0
23,DRL,0.4,0.6,0.5,5,8,6,1543.9846740722655,2.018102431297302,714.1,9.0
23,HEUR,0.4,0.6,0.5,5,8,6,1500.441015625,2.07403507232666,721.3,8.2
23,PURE,0.4,0.6,0.5,5,8,6,198.0,0.37414638622986296,529.0,0.0
24,DRL,0.4,0.6,0.5,5,8,12,1420.0222290039062,1.8440966129302978,740.7,9.0
24,HEUR,0.4,0.6,0.5,5,8,12,1510.6253784179687,1.8397932529449463,781.6,9.0
24,PURE,0.4,0.6,0.5,5,8,12,202.6,0.3913767586331822,517.7,0.0
25,DRL,0.4,0.6,0.8,3,5,6,914.8704711914063,1.1701159954071045,766.7,4.0
25,HEUR,0.4,0.6,0.8,3,5,6,704.0767211914062,0.9697499990463256,717.4,2.8
25,PURE,0.4,0.6,0.8,3,5,6,323.0,0.47557531858944146,680.9,0.0
26,DRL,0.4,0.6,0.8,3,5,12,990.5376342773437,1.288781201839447,759.2,4.2
26,HEUR,0.4,0.6,0.8,3,5,12,808.6408386230469,1.03967342376709,771.7,3.4
26,PURE,0.4,0.6,0.8,3,5,12,309.8,0.46825915390182943,663.2,0.0
27,DRL,0.4,0.6,0.8,3,8,6,667.7194030761718,0.916806674003601,718.6,3.0
27,HEUR,0.4,0.6,0.8,3,8,6,680.612548828125,0.9197889792385385,731.5,2.4
27,PURE,0.4,0.6,0.8,3,8,6,329.0,0.47227719810402735,696.2,0.0
28,DRL,0.4,0.6,0.8,3,8,12,1003.02216796875,1.3268932580947876,753.3,4.0
28,HEUR,0.4,0.6,0.8,3,8,12,916.724365234375,1.2172470450401307,742.4,3.2
28,PURE,0.4,0.6,0.8,3,8,12,313.6,0.48772403516317453,642.5,0.0
29,DRL,0.4,0.6,0.8,5,5,6,2379.6155517578127,2.3438564777374267,1009.1,13.4
29,HEUR,0.4,0.6,0.8,5,5,6,1660.8967529296874,1.8544593811035157,890.9,9.4
29,PURE,0.4,0.6,0.8,5,5,6,317.4,0.4720041055411552,672.8,0.0
