update,kind,reward,rate,ep_rate,terminal_time_min,steps,episodes,step_avg_reward,step_avg_rate,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT,run_id,train_seed,replicate,ALPHA_EFFECTIVE,ALPHA_SATURATION,ALPHA_MEMBERS,R,V,DT,RIDE_TTL_STEPS,RP,HORIZON_MIN,DEMAND_PROFILE,TRAIN_UPDATES,REPORT_UNSCALED,OBS_DIM,R_PAPER,R_PICK_ALPHA_PAPER,PICKUP_RADIUS,ALPHA_EFFECTIVE_PAPER,ALPHA_SATURATION_PAPER
10,train,388.7022196451823,0.5375001884929923,0.5321599543094635,723.1666666666666,1446.3333333333333,6,0.26714304089546204,0.5342860817909241,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
10,eval,638.4986694335937,0.5045426072173794,0.5293330788612366,1265.5,nan,1,nan,nan,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
11,train,399.9150421142578,0.5298291495949362,0.5312368988990783,754.8,1509.6,5,0.26587194204330444,0.5317438840866089,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
12,train,328.7435782296317,0.5057593511225102,0.48862023864473614,650.0,1300.0,7,0.2504090964794159,0.5008181929588318,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
13,train,281.1743600027902,0.5040902855729367,0.47298786895615713,557.7857142857143,1115.5714285714287,7,0.25418102741241455,0.5083620548248291,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
14,train,415.13832397460936,0.5118844931869413,0.5151551246643067,811.0,1622.0,5,0.25876951217651367,0.5175390243530273,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
15,train,601.9315795898438,0.5429328739535572,0.54704882701238,1108.6666666666667,2217.3333333333335,3,0.26120525598526,0.52241051197052,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
15,eval,637.630712890625,0.5029426667381488,0.5284508347511292,1267.8,nan,1,nan,nan,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
16,train,536.3590698242188,0.5398002967157819,0.5300063118338585,993.625,1987.25,4,0.2644141614437103,0.5288283228874207,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
17,train,390.1573994954427,0.5053306847215664,0.49864936868349713,772.0833333333334,1544.1666666666667,6,0.2596382796764374,0.5192765593528748,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
