update,reward,rate,terminal_time_min,steps,episodes,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT
16,67.68364,0.07791494,863.0,1726.0,2,3,2,0.2,0.5,5,5,6,5.5
17,32.98463,0.05819744,529.3333333333334,1058.6666666666667,3,3,2,0.2,0.5,5,5,6,5.5
18,93.89127,0.07834066,1198.5,2397.0,1,3,2,0.2,0.5,5,5,6,5.5
19,61.82603,0.072165035,856.0,1712.0,2,3,2,0.2,0.5,5,5,6,5.5
20,99.230156,0.084129,1179.5,2359.0,1,3,2,0.2,0.5,5,5,6,5.5
1,43.253815,0.0767278,540.3333333333334,1080.6666666666667,3,4,2,0.2,0.5,5,5,6,6.0
2,67.824295,0.079462186,844.75,1689.5,2,4,2,0.2,0.5,5,5,6,6.0
3,42.337273,0.06948101,595.3333333333334,1190.6666666666667,3,4,2,0.2,0.5,5,5,6,6.0
4,65.56747,0.07859183,833.75,1667.5,2,4,2,0.2,0.5,5,5,6,6.0
5,66.49696,0.080601335,825.25,1650.5,2,4,2,0.2,0.5,5,5,6,6.0
6,49.200592,0.07716296,636.5,1273.0,3,4,2,0.2,0.5,5,5,6,6.0
7,52.225246,0.07427683,700.25,1400.5,2,4,2,0.2,0.5,5,5,6,6.0
8,46.11233,0.074104354,616.3333333333334,1232.6666666666667,3,4,2,0.2,0.5,5,5,6,6.0
9,42.505066,0.081333116,521.1666666666666,1042.3333333333333,3,4,2,0.2,0.5,5,5,6,6.0
10,69.24721,0.083707705,821.75,1643.5,2,4,2,0.2,0.5,5,5,6,6.0
11,68.45097,0.080927834,852.0,1704.0,2,4,2,0.2,0.5,5,5,6,6.0
12,66.051895,0.078624696,832.25,1664.5,2,4,2,0.2,0.5,5,5,6,6.0
13,85.509834,0.085283786,999.5,1999.0,2,4,2,0.2,0.5,5,5,6,6.0
14,51.841198,0.07594346,682.0,1364.0,3,4,2,0.2,0.5,5,5,6,6.0
15,51.071075,0.07918892,641.3333333333334,1282.6666666666667,3,4,2,0.2,0.5,5,5,6,6.0
16,89.80556,0.08847798,1007.25,2014.5,2,4,2,0.2,0.5,5,5,6,6.0
17,79.978165,0.087225065,915.0,1830.0,2,4,2,0.2,0.5,5,5,6,6.0
18,64.77085,0.07715462,813.25,1626.5,2,4,2,0.2,0.5,5,5,6,6.0
19,40.35702,0.07397643,533.6666666666666,1067.3333333333333,3,4,2,0.2,0.5,5,5,6,6.0
20,79.50295,0.08070678,985.5,1971.0,2,4,2,0.2,0.5,5,5,6,6.0
1,27.529795,0.059103955,465.3333333333333,930.6666666666666,3,5,2,0.2,0.67,5,5,6,5.5
2,44.684555,0.06767239,661.25,1322.5,2,5,2,0.2,0.67,5,5,6,5.5
3,63.663727,0.07209935,883.0,1766.0,1,5,2,0.2,0.67,5,5,6,5.5
4,63.107815,0.07184774,878.25,1756.5,2,5,2,0.2,0.67,5,5,6,5.5
5,121.293655,0.08285086,1464.0,2928.0,1,5,2,0.2,0.67,5,5,6,5.5
6,60.690186,0.07455738,814.25,1628.5,2,5,2,0.2,0.67,5,5,6,5.5
7,46.93332,0.06601485,709.0,1418.0,2,5,2,0.2,0.67,5,5,6,5.5
8,73.95613,0.07326685,1009.0,2018.0,2,5,2,0.2,0.67,5,5,6,5.5
9,65.99023,0.07542525,872.75,1745.5,2,5,2,0.2,0.67,5,5,6,5.5
10,69.128746,0.075649396,919.25,1838.5,2,5,2,0.2,0.67,5,5,6,5.5
11,67.42738,0.07944876,838.0,1676.0,2,5,2,0.2,0.67,5,5,6,5.5
12,57.578903,0.074478365,767.5,1535.0,2,5,2,0.2,0.67,5,5,6,5.5
13,42.987736,0.067583,636.0,1272.0,2,5,2,0.2,0.67,5,5,6,5.5
14,35.274864,0.064528264,548.25,1096.5,2,5,2,0.2,0.67,5,5,6,5.5
15,67.75386,0.073004425,915.0,1830.0,2,5,2,0.2,0.67,5,5,6,5.5
16,59.775208,0.08336849,717.0,1434.0,1,5,2,0.2,0.67,5,5,6,5.5
17,29.714338,0.057977557,479.0,958.0,3,5,2,0.2,0.67,5,5,6,5.5
18,77.33256,0.082930356,932.5,1865.0,1,5,2,0.2,0.67,5,5,6,5.5
19,73.38173,0.077002905,955.0,1910.0,2,5,2,0.2,0.67,5,5,6,5.5
20,56.016766,0.06224085,900.0,1800.0,1,5,2,0.2,0.67,5,5,6,5.5
1,53.379375,0.068997286,750.5,1501.0,2,6,2,0.2,0.67,5,5,6,6.0
2,48.159832,0.070179045,671.75,1343.5,2,6,2,0.2,0.67,5,5,6,6.0
3,50.046494,0.06951158,713.25,1426.5,2,6,2,0.2,0.67,5,5,6,6.0
4,48.372482,0.07551126,642.25,1284.5,2,6,2,0.2,0.67,5,5,6,6.0
5,78.067085,0.08185001,943.75,1887.5,2,6,2,0.2,0.67,5,5,6,6.0
6,68.20767,0.07746884,849.75,1699.5,2,6,2,0.2,0.67,5,5,6,6.0
7,41.628815,0.06737458,617.5,1235.0,3,6,2,0.2,0.67,5,5,6,6.0
8,66.42934,0.07378423,865.5,1731.0,2,6,2,0.2,0.67,5,5,6,6.0
9,67.379555,0.07975522,821.0,1642.0,2,6,2,0.2,0.67,5,5,6,6.0
10,51.839783,0.074177176,677.1666666666666,1354.3333333333333,3,6,2,0.2,0.67,5,5,6,6.0
11,60.277794,0.076375164,754.25,1508.5,2,6,2,0.2,0.67,5,5,6,6.0
12,66.82599,0.08825352,758.75,1517.5,2,6,2,0.2,0.67,5,5,6,6.0
13,66.442116,0.07825309,849.5,1699.0,2,6,2,0.2,0.67,5,5,6,6.0
14,71.55028,0.08586912,826.75,1653.5,2,6,2,0.2,0.67,5,5,6,6.0
15,67.256805,0.080386296,835.25,1670.5,2,6,2,0.2,0.67,5,5,6,6.0
16,50.596252,0.0760075,654.3333333333334,1308.6666666666667,3,6,2,0.2,0.67,5,5,6,6.0
17,85.69373,0.08495211,1000.0,2000.0,2,6,2,0.2,0.67,5,5,6,6.0
18,69.42013,0.08297072,838.5,1677.0,2,6,2,0.2,0.67,5,5,6,6.0
19,83.898254,0.09089735,923.0,1846.0,1,6,2,0.2,0.67,5,5,6,6.0
20,54.130554,0.07671881,694.75,1389.5,2,6,2,0.2,0.67,5,5,6,6.0
1,67.70777,0.07766801,869.0,1738.0,2,7,2,0.2,0.83,5,5,6,5.5
2,63.472324,0.07408939,830.25,1660.5,2,7,2,0.2,0.83,5,5,6,5.5
3,78.25341,0.08138988,961.25,1922.5,2,7,2,0.2,0.83,5,5,6,5.5
4,64.594635,0.072377555,883.0,1766.0,2,7,2,0.2,0.83,5,5,6,5.5
5,121.13971,0.08371784,1447.0,2894.0,1,7,2,0.2,0.83,5,5,6,5.5
6,92.88529,0.082859315,1121.0,2242.0,1,7,2,0.2,0.83,5,5,6,5.5
7,90.8482,0.08656331,1049.5,2099.0,1,7,2,0.2,0.83,5,5,6,5.5
8,61.18362,0.07115744,859.75,1719.5,2,7,2,0.2,0.83,5,5,6,5.5
9,150.30998,0.07378988,2037.0,4074.0,1,7,2,0.2,0.83,5,5,6,5.5
10,92.29661,0.07440275,1240.5,2481.0,1,7,2,0.2,0.83,5,5,6,5.5
11,78.98273,0.07512482,992.5,1985.0,2,7,2,0.2,0.83,5,5,6,5.5
12,61.385826,0.07177755,848.25,1696.5,2,7,2,0.2,0.83,5,5,6,5.5
13,86.42438,0.079324804,1089.5,2179.0,1,7,2,0.2,0.83,5,5,6,5.5
14,57.33085,0.07035176,813.0,1626.0,2,7,2,0.2,0.83,5,5,6,5.5
15,73.90245,0.073136866,1005.0,2010.0,2,7,2,0.2,0.83,5,5,6,5.5
16,75.58981,0.0770908,980.75,1961.5,2,7,2,0.2,0.83,5,5,6,5.5
17,59.077244,0.0735472,806.0,1612.0,2,7,2,0.2,0.83,5,5,6,5.5
18,88.528175,0.07883186,1123.0,2246.0,1,7,2,0.2,0.83,5,5,6,5.5
19,59.112564,0.07854063,751.0,1502.0,2,7,2,0.2,0.83,5,5,6,5.5
20,44.296417,0.06641742,667.5,1335.0,3,7,2,0.2,0.83,5,5,6,5.5
1,60.57283,0.07873736,771.5,1543.0,2,8,2,0.2,0.83,5,5,6,6.0
2,61.088024,0.081832245,746.75,1493.5,2,8,2,0.2,0.83,5,5,6,6.0
3,67.85698,0.080939345,838.5,1677.0,2,8,2,0.2,0.83,5,5,6,6.0
4,81.86805,0.09029102,905.25,1810.5,2,8,2,0.2,0.83,5,5,6,6.0
5,64.02883,0.07441791,851.0,1702.0,2,8,2,0.2,0.83,5,5,6,6.0
6,79.9742,0.08590905,936.5,1873.0,2,8,2,0.2,0.83,5,5,6,6.0
7,103.50444,0.0843557,1227.0,2454.0,1,8,2,0.2,0.83,5,5,6,6.0
8,70.26938,0.076938905,908.0,1816.0,2,8,2,0.2,0.83,5,5,6,6.0
9,75.58052,0.082464136,906.25,1812.5,2,8,2,0.2,0.83,5,5,6,6.0
10,84.388824,0.078428276,1076.0,2152.0,1,8,2,0.2,0.83,5,5,6,6.0
11,133.11057,0.08777485,1516.5,3033.0,1,8,2,0.2,0.83,5,5,6,6.0
12,82.36539,0.08666891,949.25,1898.5,2,8,2,0.2,0.83,5,5,6,6.0
13,90.574196,0.07987142,1134.0,2268.0,1,8,2,0.2,0.83,5,5,6,6.0
14,58.74731,0.074157044,789.75,1579.5,2,8,2,0.2,0.83,5,5,6,6.0
15,71.50666,0.081772536,866.25,1732.5,2,8,2,0.2,0.83,5,5,6,6.0
16,89.68955,0.083548725,1073.5,2147.0,1,8,2,0.2,0.83,5,5,6,6.0
17,54.013756,0.0738707,730.75,1461.5,2,8,2,0.2,0.83,5,5,6,6.0
18,32.436897,0.055353068,586.0,1172.0,1,8,2,0.2,0.83,5,5,6,6.0
19,115.314575,0.093183495,1237.5,2475.0,1,8,2,0.2,0.83,5,5,6,6.0
