combo_id,algo,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT,reward,rate,terminal_time,avg_finish_time,finish_rate,accepted,time_rides,time_delivery
8,FOUR_ZONE,0.4,0.6,0.05,3,5,6,4.0,18.4,0.1236335717046414,146.0,146.0,1.0,0.0,0.0,146.0
8,PURE,0.4,0.6,0.05,3,5,6,4.0,19.4,0.1232035050000081,157.9,157.9,1.0,0.0,0.0,157.9
9,DRL,0.4,0.6,0.05,3,5,6,8.0,176.38904724121093,0.8193083984189069,181.5,181.5,1.0,1.4,22.0,159.5
9,HEUR,0.4,0.6,0.05,3,5,6,8.0,156.09200744628907,0.6880847942552253,196.8,196.8,1.0,0.8,18.1,178.7
9,HEUR_VOR,0.4,0.6,0.05,3,5,6,8.0,58.07863159179688,0.296067319327668,170.3,170.3,1.0,0.2,4.8,165.5
9,FOUR_ZONE,0.4,0.6,0.05,3,5,6,8.0,19.8,0.1409897152177146,141.3,141.3,1.0,0.0,0.0,141.3
9,PURE,0.4,0.6,0.05,3,5,6,8.0,24.4,0.1489137563389225,164.4,164.4,1.0,0.0,0.0,164.4
10,DRL,0.4,0.6,0.05,5,5,6,2.0,200.6917739868164,0.7147011816501617,267.2,267.2,1.0,3.8,103.7,163.5
10,HEUR,0.4,0.6,0.05,5,5,6,2.0,52.51390075683594,0.2830634380686303,158.4,158.4,1.0,0.8,19.3,139.1
10,HEUR_VOR,0.4,0.6,0.05,5,5,6,2.0,72.54563217163086,0.34363059103488924,209.9,209.9,1.0,1.4,28.9,181.0
10,FOUR_ZONE,0.4,0.6,0.05,5,5,6,2.0,22.4,0.13226050841151532,173.7,173.7,1.0,0.0,0.0,173.7
10,PURE,0.4,0.6,0.05,5,5,6,2.0,21.4,0.13790508378588817,157.4,157.4,1.0,0.0,0.0,157.4
11,DRL,0.4,0.6,0.05,5,5,6,4.0,369.5692657470703,1.2131147146224976,269.8,269.8,1.0,4.0,99.2,170.6
11,HEUR,0.4,0.6,0.05,5,5,6,4.0,95.1935546875,0.542892438108028,165.5,165.5,1.0,0.8,21.2,144.3
11,HEUR_VOR,0.4,0.6,0.05,5,5,6,4.0,61.98912048339844,0.32209233812291205,163.0,163.0,1.0,0.6,12.4,150.6
11,FOUR_ZONE,0.4,0.6,0.05,5,5,6,4.0,22.4,0.14913098652867965,151.4,151.4,1.0,0.0,0.0,151.4
11,PURE,0.4,0.6,0.05,5,5,6,4.0,21.6,0.14161523110706126,158.3,158.3,1.0,0.0,0.0,158.3
12,DRL,0.4,0.6,0.05,5,5,6,8.0,346.56561584472655,1.4922393221325345,207.4,207.4,1.0,1.8,45.0,162.4
12,HEUR,0.4,0.6,0.05,5,5,6,8.0,175.11222229003906,0.9459126789332469,172.0,172.0,1.0,1.2,22.6,149.4
12,HEUR_VOR,0.4,0.6,0.05,5,5,6,8.0,96.2020751953125,0.5704024400113098,142.7,142.7,1.0,0.4,10.9,131.8
12,FOUR_ZONE,0.4,0.6,0.05,5,5,6,8.0,16.8,0.11785089727043167,141.8,141.8,1.0,0.0,0.0,141.8
12,PURE,0.4,0.6,0.05,5,5,6,8.0,19.6,0.1236846929017843,161.8,161.8,1.0,0.0,0.0,161.8
13,DRL,0.6,0.6,0.025,3,5,6,2.0,63.62724227905274,0.3916330915230971,149.9,149.9,1.0,1.4,28.3,121.6
13,HEUR,0.6,0.6,0.025,3,5,6,2.0,29.024208068847656,0.24242423243830236,114.0,114.0,1.0,0.4,9.8,104.2
13,HEUR_VOR,0.6,0.6,0.025,3,5,6,2.0,9.4,0.11160843496997927,87.1,87.1,1.0,0.0,0.0,87.1
13,FOUR_ZONE,0.6,0.6,0.025,3,5,6,2.0,8.2,0.0927331584351481,93.6,93.6,1.0,0.0,0.0,93.6
13,PURE,0.6,0.6,0.025,3,5,6,2.0,9.8,0.084648422769468,115.0,115.0,1.0,0.0,0.0,115.0
14,DRL,0.6,0.6,0.025,3,5,6,4.0,143.64830780029297,0.7762903045423283,156.4,156.4,1.0,2.0,36.4,120.0
14,HEUR,0.6,0.6,0.025,3,5,6,4.0,34.083221435546875,0.2794280856975927,103.2,103.2,1.0,0.4,6.6,96.6
14,HEUR_VOR,0.6,0.6,0.025,3,5,6,4.0,49.940443420410155,0.3670534172829971,112.3,112.3,1.0,0.4,10.1,102.2
14,FOUR_ZONE,0.6,0.6,0.025,3,5,6,4.0,11.2,0.1020187831688836,108.9,108.9,1.0,0.0,0.0,108.9
14,PURE,0.6,0.6,0.025,3,5,6,4.0,7.8,0.07379860302372562,107.0,107.0,1.0,0.0,0.0,107.0
15,DRL,0.6,0.6,0.025,3,5,6,8.0,55.409429931640624,0.43222032249560255,101.3,101.3,1.0,0.2,6.1,95.2
15,HEUR,0.6,0.6,0.025,3,5,6,8.0,85.01561279296875,0.6668521432336474,103.0,103.0,1.0,0.4,10.1,92.9
15,HEUR_VOR,0.6,0.6,0.025,3,5,6,8.0,9.6,0.09520462937707856,101.3,101.3,1.0,0.0,0.0,101.3
15,FOUR_ZONE,0.6,0.6,0.025,3,5,6,8.0,9.6,0.10431744630654852,93.3,93.3,1.0,0.0,0.0,93.3
15,PURE,0.6,0.6,0.025,3,5,6,8.0,12.4,0.10188216462410501,123.3,123.3,1.0,0.0,0.0,123.3
16,DRL,0.6,0.6,0.025,5,5,6,2.0,158.79165496826172,0.7207765340805053,208.6,208.6,1.0,4.6,88.0,120.6
16,HEUR,0.6,0.6,0.025,5,5,6,2.0,63.31080436706543,0.34059161686108086,169.2,169.2,1.0,1.2,30.3,138.9
16,HEUR_VOR,0.6,0.6,0.025,5,5,6,2.0,35.929507446289065,0.3485643382367529,97.7,97.7,1.0,0.8,16.2,81.5
16,FOUR_ZONE,0.6,0.6,0.025,5,5,6,2.0,8.4,0.08562271207067171,96.6,96.6,1.0,0.0,0.0,96.6
16,PURE,0.6,0.6,0.025,5,5,6,2.0,8.6,0.08942231513663752,94.5,94.5,1.0,0.0,0.0,94.5
17,DRL,0.6,0.6,0.025,5,5,6,4.0,278.38476104736327,1.2167728424072266,214.9,214.9,1.0,3.8,79.3,135.6
17,HEUR,0.6,0.6,0.025,5,5,6,4.0,83.1166000366211,0.6655374109745026,128.0,128.0,1.0,1.2,21.0,107.0
17,HEUR_VOR,0.6,0.6,0.025,5,5,6,4.0,73.46095733642578,0.5038654778003693,135.3,135.3,1.0,0.8,18.6,116.7
17,FOUR_ZONE,0.6,0.6,0.025,5,5,6,4.0,33.074221801757815,0.2793462254651609,109.9,109.9,1.0,0.2,6.3,103.6
17,PURE,0.6,0.6,0.025,5,5,6,4.0,9.6,0.09362191020234607,102.6,102.6,1.0,0.0,0.0,102.6
18,DRL,0.6,0.6,0.025,5,5,6,8.0,203.49778442382814,1.334896025374129,117.4,117.4,1.0,1.8,29.7,87.7
18,HEUR,0.6,0.6,0.025,5,5,6,8.0,182.249910736084,1.0363609121905433,150.0,150.0,1.0,1.4,25.4,124.6
18,HEUR_VOR,0.6,0.6,0.025,5,5,6,8.0,95.28991088867187,0.7060596944052046,114.5,114.5,1.0,0.6,13.0,101.5
18,FOUR_ZONE,0.6,0.6,0.025,5,5,6,8.0,11.0,0.09648711070103559,115.6,115.6,1.0,0.0,0.0,115.6
18,PURE,0.6,0.6,0.025,5,5,6,8.0,12.0,0.10729952294366478,111.4,111.4,1.0,0.0,0.0,111.4
19,DRL,0.6,0.6,0.05,3,5,6,2.0,70.12507400512695,0.35238084735167813,186.5,186.5,1.0,1.4,26.8,159.7
19,HEUR,0.6,0.6,0.05,3,5,6,2.0,25.83249282836914,0.16368345839986262,152.2,152.2,1.0,0.2,3.8,148.4
19,HEUR_VOR,0.6,0.6,0.05,3,5,6,2.0,36.14382705688477,0.2135697687557024,161.1,161.1,1.0,0.4,9.0,152.1
19,FOUR_ZONE,0.6,0.6,0.05,3,5,6,2.0,22.2,0.13367358441481253,166.3,166.3,1.0,0.0,0.0,166.3
19,PURE,0.6,0.6,0.05,3,5,6,2.0,22.6,0.1284587332649955,174.8,174.8,1.0,0.0,0.0,174.8
20,DRL,0.6,0.6,0.05,3,5,6,4.0,137.08932037353514,0.6720107665061951,193.4,193.4,1.0,1.8,32.7,160.7
