update,kind,reward,rate,terminal_time_min,steps,episodes,step_avg_reward,step_avg_rate,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT
13,train,114.69117482503255,0.33589445854912653,326.2083333333333,652.4166666666666,12,0.18035686016082764,0.3607137203216553,1,2,0.1,0.33,5,5,6,5.5
14,train,104.83844287578876,0.3273371340803799,305.0769230769231,610.1538461538462,13,0.16980059444904327,0.33960118889808655,1,2,0.1,0.33,5,5,6,5.5
15,train,121.4452559153239,0.3596140359946491,321.4166666666667,642.8333333333334,12,0.19111844897270203,0.38223689794540405,1,2,0.1,0.33,5,5,6,5.5
15,eval,911.52275390625,2.673131561279297,340.9,nan,1,nan,nan,1,2,0.1,0.33,5,5,6,5.5,eval
16,train,103.89344435471754,0.3145233564717496,307.88461538461536,615.7692307692307,13,0.16779950261116028,0.33559900522232056,1,2,0.1,0.33,5,5,6,5.5
17,train,100.48822729928153,0.34829794920315377,280.32142857142856,560.6428571428571,14,0.1780756711959839,0.3561513423919678,1,2,0.1,0.33,5,5,6,5.5
18,train,97.11189760480609,0.32839179769854215,286.4642857142857,572.9285714285714,14,0.17181679606437683,0.34363359212875366,1,2,0.1,0.33,5,5,6,5.5
19,train,137.67256,0.38506165,335.5,671.0,12,0.2065889835357666,0.4131779670715332,1,2,0.1,0.33,5,5,6,5.5
20,train,127.05962,0.36333716,336.4166666666667,672.8333333333334,12,0.19113489985466003,0.38226979970932007,1,2,0.1,0.33,5,5,6,5.5
20,eval,911.52275390625,2.673131561279297,340.9,nan,1,nan,nan,1,2,0.1,0.33,5,5,6,5.5,eval
21,train,143.95093,0.38401058,362.54545454545456,725.0909090909091,11,0.19815242290496826,0.3963048458099365,1,2,0.1,0.33,5,5,6,5.5
22,train,93.27781178401067,0.2866151000300725,305.96153846153845,611.9230769230769,13,0.15977029502391815,0.3195405900478363,1,2,0.1,0.33,5,5,6,5.5
23,train,93.5748050396259,0.3166226534121383,284.38461538461536,568.7692307692307,13,0.16612526774406433,0.33225053548812866,1,2,0.1,0.33,5,5,6,5.5
24,train,125.39740594228108,0.36289063716928166,326.625,653.25,12,0.18849222362041473,0.37698444724082947,1,2,0.1,0.33,5,5,6,5.5
25,train,143.22098194469106,0.39217615655164395,355.09090909090907,710.1818181818181,11,0.20329605042934418,0.40659210085868835,1,2,0.1,0.33,5,5,6,5.5
25,eval,911.52275390625,2.673131561279297,340.9,nan,1,nan,nan,1,2,0.1,0.33,5,5,6,5.5,eval
26,train,92.736435,0.31576034,287.17857142857144,574.3571428571429,14,0.16256961226463318,0.32513922452926636,1,2,0.1,0.33,5,5,6,5.5
27,train,99.02777208600726,0.3368667007113992,286.32142857142856,572.6428571428571,14,0.1711679995059967,0.3423359990119934,1,2,0.1,0.33,5,5,6,5.5
28,train,108.33489285982571,0.35148166198327174,297.38461538461536,594.7692307692307,13,0.18255409598350525,0.3651081919670105,1,2,0.1,0.33,5,5,6,5.5
29,train,98.57709532517653,0.321927435071083,294.15384615384613,588.3076923076923,13,0.17133906483650208,0.34267812967300415,1,2,0.1,0.33,5,5,6,5.5
30,train,107.7878051170936,0.32832049670009555,310.8076923076923,621.6153846153846,13,0.1744288057088852,0.3488576114177704,1,2,0.1,0.33,5,5,6,5.5
