update,kind,reward,rate,ep_rate,terminal_time_min,steps,episodes,step_avg_reward,step_avg_rate,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT,run_id,train_seed,replicate,ALPHA_EFFECTIVE,ALPHA_SATURATION,ALPHA_MEMBERS,R,V,DT,RIDE_TTL_STEPS,RP,HORIZON_MIN,DEMAND_PROFILE,TRAIN_UPDATES,REPORT_UNSCALED,OBS_DIM,R_PAPER,R_PICK_ALPHA_PAPER,PICKUP_RADIUS,ALPHA_EFFECTIVE_PAPER,ALPHA_SATURATION_PAPER
1,train,108.2438838665302,0.3645991683546813,0.3517467574431346,296.88461538461536,593.7692307692307,13,0.18194833397865295,0.3638966679573059,5,2,0.1,0.33,5,5,6,6.0,20260921T080117720781Z_ff68f4bb,42,1,0.1,0.2442732516826255,[0.1],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.07071067811865475,0.38890872965260115,0.07071067811865475,0.17272727272727273
2,train,103.95856257847377,0.3418083316342491,0.33311723491975237,304.14285714285717,608.2857142857143,14,0.1696859449148178,0.3393718898296356,5,2,0.1,0.33,5,5,6,6.0,20260921T080117720781Z_ff68f4bb,42,1,0.1,0.2442732516826255,[0.1],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.07071067811865475,0.38890872965260115,0.07071067811865475,0.17272727272727273
3,train,122.13112290700276,0.3532353518640716,0.33156735177017554,345.75,691.5,12,0.17743782699108124,0.3548756539821625,5,2,0.1,0.33,5,5,6,6.0,20260921T080117720781Z_ff68f4bb,42,1,0.1,0.2442732516826255,[0.1],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.07071067811865475,0.38890872965260115,0.07071067811865475,0.17272727272727273
4,train,123.13289919766513,0.3489082666600506,0.3336532292040912,352.90909090909093,705.8181818181819,11,0.1760692000389099,0.3521384000778198,5,2,0.1,0.33,5,5,6,6.0,20260921T080117720781Z_ff68f4bb,42,1,0.1,0.2442732516826255,[0.1],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.07071067811865475,0.38890872965260115,0.07071067811865475,0.17272727272727273
5,train,112.23303572336833,0.3511397285048677,0.34013739606497845,319.625,639.25,12,0.1802724152803421,0.3605448305606842,5,2,0.1,0.33,5,5,6,6.0,20260921T080117720781Z_ff68f4bb,42,1,0.1,0.2442732516826255,[0.1],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.07071067811865475,0.38890872965260115,0.07071067811865475,0.17272727272727273
5,eval,104.75590591430664,0.33245289087371194,0.31037146151065825,315.1,nan,1,nan,nan,5,2,0.1,0.33,5,5,6,6.0,20260921T080117720781Z_ff68f4bb,42,1,0.1,0.2442732516826255,[0.1],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.07071067811865475,0.38890872965260115,0.07071067811865475,0.17272727272727273
6,train,171.85810643976384,0.43413461266216613,0.41909677061167633,395.8636363636364,791.7272727272727,11,0.21342428028583527,0.42684856057167053,5,2,0.1,0.33,5,5,6,6.0,20260921T080117720781Z_ff68f4bb,42,1,0.1,0.2442732516826255,[0.1],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.07071067811865475,0.38890872965260115,0.07071067811865475,0.17272727272727273
7,train,108.91208824744591,0.3417880862321779,0.3352250977721287,318.65384615384613,637.3076923076923,13,0.17094039916992188,0.34188079833984375,5,2,0.1,0.33,5,5,6,6.0,20260921T080117720781Z_ff68f4bb,42,1,0.1,0.2442732516826255,[0.1],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.07071067811865475,0.38890872965260115,0.07071067811865475,0.17272727272727273
8,train,118.96401151021321,0.35006575235962695,0.3461354449391365,339.8333333333333,679.6666666666666,12,0.1745680868625641,0.3491361737251282,5,2,0.1,0.33,5,5,6,6.0,20260921T080117720781Z_ff68f4bb,42,1,0.1,0.2442732516826255,[0.1],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.07071067811865475,0.38890872965260115,0.07071067811865475,0.17272727272727273
9,train,131.20327695210776,0.39009894039278814,0.38236316045125324,336.3333333333333,672.6666666666666,12,0.20079827308654785,0.4015965461730957,5,2,0.1,0.33,5,5,6,6.0,20260921T080117720781Z_ff68f4bb,42,1,0.1,0.2442732516826255,[0.1],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.07071067811865475,0.38890872965260115,0.07071067811865475,0.17272727272727273
10,train,162.7995861053467,0.4131969190491033,0.3983768135309219,394.0,788.0,10,0.20181360840797424,0.4036272168159485,5,2,0.1,0.33,5,5,6,6.0,20260921T080117720781Z_ff68f4bb,42,1,0.1,0.2442732516826255,[0.1],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.07071067811865475,0.38890872965260115,0.07071067811865475,0.17272727272727273
10,eval,104.75590591430664,0.33245289087371194,0.31037146151065825,315.1,nan,1,nan,nan,5,2,0.1,0.33,5,5,6,6.0,20260921T080117720781Z_ff68f4bb,42,1,0.1,0.2442732516826255,[0.1],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.07071067811865475,0.38890872965260115,0.07071067811865475,0.17272727272727273
